U	v	Z1	Z2	T	P	vf	x1	x2	y1	y2
16916.64285714286	0.0019842586666666668	0.9435011765438049	0.05649882345619504	876.3492680100476	3718540.7536642747	1	0.702247609787311	0.297752390212689	0.9435011765438049	0.05649882345619504
16916.64285714286	0.0019842586666666668	0.9319874316392327	0.06801256836076741	843.8634511079644	3580164.5668786257	1	0.6307443265141788	0.3692556734858211	0.9319874316392327	0.06801256836076741
16916.64285714286	0.0019842586666666668	0.9199702347479396	0.08002976525206035	814.3684255395414	3454167.8367062234	1	0.559154849309436	0.44084515069056385	0.9199702347479396	0.08002976525206035
16916.64285714286	0.0019842586666666668	0.907415826749346	0.09258417325065416	787.4156869985657	3338631.467480368	1	0.489701898726262	0.5102981012737379	0.907415826749346	0.09258417325065416
16916.64285714286	0.0019842586666666668	0.8942873612123969	0.10571263878760319	762.6443273327077	3232002.1454104474	1	0.4241825414924795	0.5758174585075204	0.8942873612123969	0.10571263878760319
16916.64285714286	0.0019842586666666668	0.8805445432153516	0.11945545678464838	739.7599681572943	3133002.948914865	1	0.36386509649050064	0.6361349035094993	0.8805445432153516	0.11945545678464838
16916.64285714286	0.0019842586666666668	0.8661432162459994	0.1338567837540006	718.5202918878762	3040571.756601147	1	0.30948571226416266	0.6905142877358373	0.8661432162459994	0.1338567837540006
16916.64285714286	0.0019842586666666668	0.851034888261239	0.14896511173876117	698.7242984160204	2953815.2558828825	1	0.26131584582577433	0.7386841541742256	0.851034888261239	0.14896511173876117
16916.64285714286	0.0018222515555555555	0.9651397724218261	0.034860227578173995	952.8241001382586	4407683.490175295	1	0.8353316733724466	0.16466832662755337	0.9651397724218261	0.034860227578173995
16916.64285714286	0.0018222515555555555	0.9545424579891726	0.04545754201082755	912.5090063381404	4221289.834471817	1	0.7712930018751023	0.22870699812489767	0.9545424579891726	0.04545754201082755
16916.64285714286	0.0018222515555555555	0.9435011765438049	0.05649882345619504	876.4796015194997	4054367.7759076823	1	0.7023484448577548	0.29765155514224506	0.9435011765438049	0.05649882345619504
16916.64285714286	0.0018222515555555555	0.9319874316392327	0.06801256836076741	844.0074626589998	3903544.7327744584	1	0.6308781740577314	0.36912182594226867	0.9319874316392327	0.06801256836076741
16916.64285714286	0.0018222515555555555	0.9199702347479396	0.08002976525206035	814.5258712319804	3766187.8704018816	1	0.5593211493958845	0.4406788506041155	0.9199702347479396	0.08002976525206035
16916.64285714286	0.0018222515555555555	0.907415826749346	0.09258417325065416	787.5865796937347	3640205.0553048137	1	0.48989763259409835	0.5101023674059016	0.907415826749346	0.09258417325065416
16916.64285714286	0.0018222515555555555	0.8942873612123969	0.10571263878760319	762.8287263748138	3523901.402499804	1	0.42440260922572276	0.5755973907742772	0.8942873612123969	0.10571263878760319
16916.64285714286	0.0018222515555555555	0.8805445432153516	0.11945545678464838	739.9586676113505	3415886.0607079687	1	0.36410395034208076	0.6358960496579192	0.8805445432153516	0.11945545678464838
16916.64285714286	0.0018222515555555555	0.8661432162459994	0.1338567837540006	718.7338054574612	3314997.053978807	1	0.30973691005104953	0.6902630899489505	0.8661432162459994	0.1338567837540006
16916.64285714286	0.0018222515555555555	0.851034888261239	0.14896511173876117	698.9529371311539	3220256.235685119	1	0.2615727926598952	0.7384272073401049	0.851034888261239	0.14896511173876117
16916.64285714286	0.0016602444444444443	0.9651397724218261	0.034860227578173995	952.9475165515231	4845021.887701487	1	0.8353848101779874	0.16461518982201268	0.9651397724218261	0.034860227578173995
16916.64285714286	0.0016602444444444443	0.9545424579891726	0.04545754201082755	912.6487153532383	4640270.699834184	1	0.7713771048380016	0.22862289516199846	0.9545424579891726	0.04545754201082755
16916.64285714286	0.0016602444444444443	0.9435011765438049	0.05649882345619504	876.635383751103	4456883.580372572	1	0.7024689077408304	0.2975310922591696	0.9435011765438049	0.05649882345619504
16916.64285714286	0.0016602444444444443	0.9319874316392327	0.06801256836076741	844.1792166746546	4291154.412901635	1	0.6310377220484473	0.3689622779515526	0.9319874316392327	0.06801256836076741
16916.64285714286	0.0016602444444444443	0.9199702347479396	0.08002976525206035	814.7132706003022	4140187.5171733084	1	0.5595189852719104	0.44048101472808954	0.9199702347479396	0.08002976525206035
16916.64285714286	0.0016602444444444443	0.907415826749346	0.09258417325065416	787.7900153166783	4001685.6091506192	1	0.4901305323126474	0.5098694676873526	0.907415826749346	0.09258417325065416
16916.64285714286	0.0016602444444444443	0.8942873612123969	0.10571263878760319	763.0486206092703	3873783.8114745035	1	0.42466494211564754	0.5753350578843524	0.8942873612123969	0.10571263878760319
16916.64285714286	0.0016602444444444443	0.8805445432153516	0.11945545678464838	740.1952064017875	3754949.3538992833	1	0.36438821011316697	0.635611789886833	0.8805445432153516	0.11945545678464838
